Item Name,Qty,Price (total) (USD),Item link,Notes
mfrc522,1,$6.81,https://grobotronics.com/mfrc-522-nfc-rfid-controller-breakout-board.html,Rfid reader. 
esp32 -devkitc,1,$11.42,https://grobotronics.com/esp32-development-board-devkit-v1.html,esp32
waveshare lcd 16*2 i2c,1,$11.42,https://grobotronics.com/basic-16x2-character-lcd-blue-3.3v-5v-i2c-protocol.html,lcd i2c display
22awg breadboard wires,1,$6.92,https://grobotronics.com/breadboard-jumper-wires-140pcs.html,wires for soldering everything 
pushbutton ,1,already owned ,-,-
rocker switch ,1,$0.58,https://grobotronics.com/rocker-switch-on-off.html,switch
black esun pla 1.75mm 1kg,1,$14.77,https://grobotronics.com/esun-pla-basic-1-75mm-1kg-black.html,pla for the case
lipo battery 3.7V 450 mAh,1,$5.54,https://grobotronics.com/li-po-battery-3-7v-450mah.html,battery
step-up 5v converter,1,$5.54,https://grobotronics.com/dc-dc-automatic-step-up-down-power-module-5v-600ma.html,step-up to 5v
number 10 screws,16,already owned ,-,-
nfc sticker 13.56mhz,5,$3.45,https://grobotronics.com/adhesive-nfc-mifare-25mm-13.56mhz.html,tags to write on and stick on obejcts
DFRobot Lipo charger,1,$8.54,https://grobotronics.com/dfrobot-lipo-charger-microusb.html,charger for the li-po
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total Price (USD):,$74.99,,,
